flyID,in:Angle2,in:Size,out:V,out:A
Angle20_Size5,0,5,375,335
Angle20_Size6,0,6,777.6,561.6
Angle20_Size7,0,7,1440.6,872.2
Angle20_Size8,0,8,2457.6,1280
Angle20_Size9,0,9,3936.6,1798.2
Angle20_Size10,0,10,6000,2440
Angle20.1_Size5,0.1,5,375,335
Angle20.1_Size6,0.1,6,777.6,561.6
Angle20.1_Size7,0.1,7,1440.6,872.2
Angle20.1_Size8,0.1,8,2457.6,1280
Angle20.1_Size9,0.1,9,3936.6,1798.2
Angle20.1_Size10,0.1,10,6000,2440
Angle20.2_Size5,0.2,5,375,335
Angle20.2_Size6,0.2,6,777.6,561.6
Angle20.2_Size7,0.2,7,1440.6,872.2
Angle20.2_Size8,0.2,8,2457.6,1280
Angle20.2_Size9,0.2,9,3936.6,1798.2
Angle20.2_Size10,0.2,10,6000,2440
Angle20.3_Size5,0.3,5,375,335
Angle20.3_Size6,0.3,6,777.6,561.6
Angle20.3_Size7,0.3,7,1440.6,872.2
Angle20.3_Size8,0.3,8,2457.6,1280
Angle20.3_Size9,0.3,9,3936.6,1798.2
Angle20.3_Size10,0.3,10,6000,2440
Angle20.4_Size5,0.4,5,375,335
Angle20.4_Size6,0.4,6,777.6,561.6
Angle20.4_Size7,0.4,7,1440.6,872.2
Angle20.4_Size8,0.4,8,2457.6,1280
Angle20.4_Size9,0.4,9,3936.6,1798.2
Angle20.4_Size10,0.4,10,6000,2440
Angle20.5_Size5,0.5,5,375,335
Angle20.5_Size6,0.5,6,777.6,561.6
Angle20.5_Size7,0.5,7,1440.6,872.2
Angle20.5_Size8,0.5,8,2457.6,1280
Angle20.5_Size9,0.5,9,3936.6,1798.2
Angle20.5_Size10,0.5,10,6000,2440
Angle20.6_Size5,0.6,5,375,335
Angle20.6_Size6,0.6,6,777.6,561.6
Angle20.6_Size7,0.6,7,1440.6,872.2
Angle20.6_Size8,0.6,8,2457.6,1280
Angle20.6_Size9,0.6,9,3936.6,1798.2
Angle20.6_Size10,0.6,10,6000,2440
Angle20.7_Size5,0.7,5,375,335
Angle20.7_Size6,0.7,6,777.6,561.6
Angle20.7_Size7,0.7,7,1440.6,872.2
Angle20.7_Size8,0.7,8,2457.6,1280
Angle20.7_Size9,0.7,9,3936.6,1798.2
Angle20.7_Size10,0.7,10,6000,2440
Angle20.8_Size5,0.8,5,375,335
Angle20.8_Size6,0.8,6,777.6,561.6
Angle20.8_Size7,0.8,7,1440.6,872.2
Angle20.8_Size8,0.8,8,2457.6,1280
Angle20.8_Size9,0.8,9,3936.6,1798.2
Angle20.8_Size10,0.8,10,6000,2440
Angle20.9_Size5,0.9,5,375,335
Angle20.9_Size6,0.9,6,777.6,561.6
Angle20.9_Size7,0.9,7,1440.6,872.2
Angle20.9_Size8,0.9,8,2457.6,1280
Angle20.9_Size9,0.9,9,3936.6,1798.2
Angle20.9_Size10,0.9,10,6000,2440
Angle21_Size5,1,5,375,335
Angle21_Size6,1,6,777.6,561.6
Angle21_Size7,1,7,1440.6,872.2
Angle21_Size8,1,8,2457.6,1280
Angle21_Size9,1,9,3936.6,1798.2
Angle21_Size10,1,10,6000,2440
